,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_B10,ST_ATRAN,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,QA_PIXEL,QA_RADSAT,date,longitude,latitude,cosVZA,cosSZA,cosRAA,partition,ID,PLOT_ID,Date
5,0.02756249999999999,0.036445000000000005,0.05806,0.05599749999999998,0.174715,0.17443999999999998,0.11075000000000002,224.0,44214.0,9002.0,958.0,346.0,9633.0,80.0,210.0,9003.0,639.0,21824.0,0.0,1630692434831.0,-110.5430839590088,44.95524281924101,0.9998,0.7548,0.5123,10.0,14,YELL_050,9/9/2021
6,0.02745249999999999,0.036335000000000006,0.05701499999999998,0.05550250000000001,0.16858250000000002,0.18070999999999998,0.11099750000000003,194.0,44130.0,9002.0,956.0,346.0,9654.0,92.0,213.0,8985.0,639.0,21824.0,0.0,1630692434831.0,-110.54270363035859,44.955241296957496,0.9998,0.7548,0.5119,10.0,14,YELL_050,9/9/2021
0,0.022199999999999998,0.02233750000000001,0.04582249999999999,0.027177499999999993,0.3320975,0.1681975,0.06603500000000001,96.0,44609.0,6365.0,431.0,1381.0,9861.0,70.0,254.0,9213.0,3034.0,21824.0,0.0,1630947652217.0,-95.18951421868913,39.038769015228205,0.9997,0.7954,0.0,5.0,15,UKFS_053,9/9/2021
1,0.023162500000000003,0.024510000000000004,0.045630000000000004,0.0265725,0.341695,0.1706725,0.06763000000000002,96.0,44565.0,6360.0,433.0,1383.0,9862.0,70.0,254.0,9200.0,3039.0,21824.0,0.0,1630947652217.0,-95.18916782976554,39.03877551995286,0.9997,0.7954,0.0,5.0,15,UKFS_053,9/9/2021
2,0.020962499999999995,0.02285999999999999,0.049534999999999996,0.028222499999999984,0.33823,0.1678675,0.0654575,96.0,44616.0,6374.0,434.0,1378.0,9859.0,96.0,256.0,9215.0,3025.0,21824.0,0.0,1630947652217.0,-95.189522560099,39.03903915628516,0.9997,0.7954,0.0,5.0,15,UKFS_053,9/9/2021
3,0.02209,0.022639999999999993,0.04642750000000001,0.02593999999999999,0.3517875,0.17130499999999999,0.06548500000000002,96.0,44570.0,6367.0,435.0,1380.0,9863.0,96.0,256.0,9202.0,3032.0,21824.0,0.0,1630947652217.0,-95.18917616985831,39.0390456610721,0.9997,0.7954,0.0,5.0,15,UKFS_053,9/9/2021
4,0.021127499999999994,0.021732499999999988,0.04144999999999999,0.023684999999999984,0.34815749999999995,0.16099249999999998,0.060425000000000006,96.0,44534.0,6362.0,437.0,1382.0,9863.0,122.0,260.0,9191.0,3037.0,21824.0,0.0,1630947652217.0,-95.18882977950564,39.03905216483128,0.9997,0.7954,0.0,5.0,15,UKFS_053,9/9/2021
5,0.020384999999999986,0.022364999999999996,0.048435000000000006,0.028304999999999997,0.34087000000000006,0.16454000000000002,0.06559500000000001,96.0,44621.0,6382.0,436.0,1375.0,9860.0,96.0,256.0,9217.0,3018.0,21824.0,0.0,1630947652217.0,-95.18953090162087,39.03930929732807,0.9997,0.7954,0.0,5.0,15,UKFS_053,9/9/2021
6,0.021292499999999992,0.021815,0.0446675,0.02541750000000001,0.324865,0.15796749999999998,0.061195,66.0,44587.0,6373.0,438.0,1378.0,9860.0,96.0,256.0,9206.0,3027.0,21824.0,0.0,1630947652217.0,-95.18918451006313,39.03931580217729,0.9997,0.7954,0.0,5.0,15,UKFS_053,9/9/2021
0,0.009935,0.026269999999999988,0.05619000000000002,0.07535750000000002,0.2049375,0.157555,0.08542250000000001,194.0,38989.0,8339.0,19.0,508.0,9631.0,117.0,530.0,6838.0,984.0,21824.0,0.0,1600291167320.0,-149.21112558268206,63.874306507155445,0.9993000000000001,0.4702,0.0,10.0,19,HEAL_070,9/9/2020
1,0.010704999999999992,0.027315000000000006,0.05817,0.07865749999999999,0.2122525,0.1625875,0.08899750000000001,224.0,38943.0,8338.0,16.0,508.0,9654.0,86.0,541.0,6835.0,985.0,21824.0,0.0,1600291167320.0,-149.21051543427777,63.87431583182339,0.9993000000000001,0.4702,0.0,10.0,19,HEAL_070,9/9/2020
2,0.010759999999999992,0.027892499999999987,0.059462499999999974,0.07884999999999998,0.21665250000000003,0.1622575,0.08886,224.0,39147.0,8338.0,13.0,508.0,9531.0,150.0,558.0,6834.0,985.0,21824.0,0.0,1600291167320.0,-149.20990528542043,63.87432515391988,0.9993000000000001,0.4702,0.0,10.0,19,HEAL_070,9/9/2020
3,0.012217499999999992,0.027287499999999992,0.05462250000000002,0.0744225,0.20766,0.15607,0.08481749999999999,224.0,39023.0,8337.0,18.0,508.0,9631.0,117.0,533.0,6849.0,985.0,21824.0,0.0,1600291167320.0,-149.2111467341637,63.87457553201725,0.9993000000000001,0.4702,0.0,10.0,19,HEAL_070,9/9/2020
4,0.0114475,0.027425000000000005,0.056877500000000025,0.07898749999999999,0.2122525,0.15961750000000002,0.08622000000000002,224.0,38971.0,8337.0,15.0,508.0,9654.0,86.0,545.0,6845.0,985.0,21824.0,0.0,1600291167320.0,-149.21053657993437,63.87458485679546,0.9993000000000001,0.4702,0.0,10.0,19,HEAL_070,9/9/2020
5,0.012602499999999989,0.029267500000000002,0.05775750000000002,0.07898749999999999,0.21541500000000002,0.15992,0.08668749999999997,224.0,39163.0,8337.0,12.0,508.0,9531.0,150.0,562.0,6839.0,985.0,21824.0,0.0,1600291167320.0,-149.20992642525198,63.874594179002194,0.9993000000000001,0.4702,0.0,10.0,19,HEAL_070,9/9/2020
6,0.010952500000000004,0.025389999999999996,0.05544749999999998,0.07824500000000001,0.21811000000000003,0.15747250000000002,0.08503749999999999,224.0,39008.0,8337.0,15.0,509.0,9654.0,86.0,546.0,6857.0,986.0,21824.0,0.0,1600291167320.0,-149.21055772604402,63.87485388175362,0.9993000000000001,0.4702,0.0,10.0,19,HEAL_070,9/9/2020
7,0.010319999999999996,0.02610499999999999,0.055062500000000014,0.07676,0.218825,0.1586825,0.08575250000000001,224.0,39192.0,8337.0,12.0,509.0,9531.0,150.0,564.0,6849.0,986.0,21824.0,0.0,1600291167320.0,-149.20994756553642,63.874863204070614,0.9993000000000001,0.4702,0.0,10.0,19,HEAL_070,9/9/2020
0,0.021237499999999992,0.0202475,0.0321275,0.018102499999999994,0.29423,0.12463750000000001,0.047774999999999984,96.0,43936.0,7526.0,925.0,909.0,9835.0,543.0,393.0,8902.0,1862.0,21824.0,0.0,1599407569467.0,-78.0759935767279,39.06103702796473,0.9992000000000001,0.7951,0.0,5.0,20,BLAN_048,9/9/2020
1,0.022364999999999996,0.021485000000000004,0.033530000000000004,0.01942250000000001,0.30902500000000005,0.14212750000000002,0.05597000000000002,96.0,43903.0,7526.0,924.0,909.0,9835.0,648.0,449.0,8890.0,1862.0,21824.0,0.0,1599407569467.0,-78.076328730657,39.06131570254884,0.9992000000000001,0.7951,0.0,5.0,20,BLAN_048,9/9/2020
2,0.022144999999999998,0.021925,0.03460250000000001,0.02005499999999999,0.31427750000000004,0.13726,0.051624999999999976,96.0,43916.0,7526.0,926.0,909.0,9836.0,543.0,392.0,8896.0,1862.0,21824.0,0.0,1599407569467.0,-78.07598243038915,39.06130701301518,0.9992000000000001,0.7951,0.0,5.0,20,BLAN_048,9/9/2020
3,0.022172499999999984,0.021540000000000004,0.0357025,0.020137500000000003,0.31194000000000005,0.13066,0.049232499999999985,66.0,43938.0,7526.0,929.0,909.0,9836.0,543.0,393.0,8903.0,1862.0,21824.0,0.0,1599407569467.0,-78.07563613027091,39.061298322454846,0.9992000000000001,0.7951,0.0,5.0,20,BLAN_048,9/9/2020
4,0.020274999999999987,0.01931250000000001,0.03408,0.019532500000000008,0.31546,0.13506,0.049754999999999994,96.0,43877.0,7526.0,926.0,909.0,9836.0,648.0,448.0,8882.0,1862.0,21824.0,0.0,1599407569467.0,-78.07631758548415,39.06158568766722,0.9992000000000001,0.795,0.0,5.0,20,BLAN_048,9/9/2020
5,0.019147499999999984,0.019394999999999996,0.032952499999999996,0.01843249999999999,0.31812749999999995,0.13035750000000002,0.04733499999999999,96.0,43883.0,7526.0,928.0,909.0,9840.0,543.0,392.0,8887.0,1862.0,21824.0,0.0,1599407569467.0,-78.07597128390077,39.06157699805042,0.9992000000000001,0.7951,0.0,5.0,20,BLAN_048,9/9/2020
